Dataset,Model,Ablation,HiddenDim,NumLayers,Params,Seed,BestVal,TestAP,BestEpoch,MaxEpochs,Patience,BatchSize,AccumSteps,EffectiveBatch
LRGB,HybridGraphFNet_Best_Peptides,none,128,4,see run,0,see run,0.6244,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_lappe,128,4,see run,0,see run,0.6328823888144377,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_edge,128,4,see run,0,see run,0.6191589614178076,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,scalar_gate,128,4,see run,0,see run,0.596016679412302,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,mean_pool,128,4,see run,0,see run,0.6196326949844785,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_spectral,128,4,see run,0,see run,0.594122564377942,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,none,128,4,see run,0,see run,0.6244,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_lappe,128,4,see run,0,see run,0.6328823888144377,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_edge,128,4,see run,0,see run,0.6191589614178076,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,scalar_gate,128,4,see run,0,see run,0.596016679412302,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,mean_pool,128,4,see run,0,see run,0.6196326949844785,see run,150,20,8,4,32
LRGB,HybridGraphFNet_Best_Peptides,no_spectral,128,4,see run,0,see run,0.594122564377942,see run,150,20,8,4,32
